# Nine packed 4-bit CGB waveforms used by TLA.
wave	address	source
0	0x81c4440	WAVE_000.PCM4
1	0x81c4450	WAVE_001.PCM4
2	0x81c4460	WAVE_002.PCM4
3	0x81c4470	WAVE_003.PCM4
4	0x81c4480	WAVE_004.PCM4
5	0x81c4490	WAVE_005.PCM4
6	0x81c44a0	WAVE_006.PCM4
7	0x81c44b0	WAVE_007.PCM4
8	0x81c44c0	WAVE_008.PCM4
