stem	best_diff	size	best_flags	was
080c0f98	46	120/122	BASE	46
080160fc	47	124/124	BASE	47
0808d394	47	148/148	-fno-rerun-cse-after-loop	63
08003e58	48	124/124	-fno-regmove,-fno-schedule-insns2	50
0801edec	48	116/124	-fno-sched-depend-count,-mgrouped-dma-store	54
0808b320	48	104/120	-fno-expensive-optimizations	51
080b1dec	48	140/148	-fno-sched-depend-count,-fno-rerun-cse-after-loop	51
080d66cc	48	136/132	-fno-expensive-optimizations	49
08079b24	49	160/160	-fno-gcse	73
08010560	50	112/116	-fno-gcse	51
080e7338	50	54/102	BASE	50
08091f14	51	124/124	-mentry-low-register-order	61
080a2144	51	116/108	-mthumb-early-literal-pool	54
080a9c18	51	162/162	-fno-gcse	66
08012388	52	80/108	-fno-regmove,-fno-schedule-insns2	53
080c9048	52	168/156	-fsched-store-first,-fno-sched-alias	58
080292c4	53	200/200	-fsched-low-dest-first,-fno-sched-depend-count	61
0807a3a8	53	168/176	-fno-expensive-optimizations	85
08011590	54	184/180	-fsched-low-dest-first,-fno-sched-depend-count	57
0808b158	54	120/128	-fno-rerun-cse-after-loop	57
0808b98c	54	116/108	-fno-regmove,-fno-schedule-insns2	56
08094154	54	136/138	-fno-regmove,-fno-schedule-insns2	56
080113e4	55	188/188	BASE	55
0801c8a0	55	124/132	-fno-gcse	62
080a1a40	55	112/126	-fno-cse-pool-immediate	62
080b5b18	55	236/240	-fsched-high-dest-first,-fsched-store-first	95
080b6c08	55	132/136	-fno-gcse	74
0801868c	56	260/260	BASE	56
0808ddec	56	304/304	-fno-expensive-optimizations	78
080f60a0	56	176/168	-mthumb-early-literal-pool	58
08021848	57	144/148	-fno-regmove,-fno-schedule-insns2	58
080a8c2c	57	144/148	-fno-regmove,-fno-schedule-insns2	58
080b60a0	58	160/166	BASE	58
080c0228	59	120/112	-fno-expensive-optimizations	63
08006a78	60	74/128	-fno-cse-pool-immediate	62
08016f2c	60	208/216	BASE	60
08019000	60	140/140	BASE	60
080a9598	60	320/320	-fno-expensive-optimizations	82
0800bbc0	61	120/134	BASE	61
08099838	62	236/232	BASE	62
0809b86c	62	128/136	-fthumb-minipool-tail-first	63
080f95f0	62	128/132	BASE	62
0800fec8	64	140/140	-mentry-low-register-order	64
0807a7a0	64	134/136	-mthumb-early-literal-pool	66
080a19a0	64	152/160	-fno-gcse	73
0800ff54	65	172/172	-fno-sched-depend-count,-mthumb-immediate-latency	67
08010704	65	148/132	-mthumb-early-literal-pool	69
08092f84	65	160/188	BASE	65
08006910	66	132/148	-fno-gcse	70
080a602c	66	180/168	-fno-gcse	67
080bad7c	67	186/194	-fno-gcse	87
08006af8	68	112/140	BASE	68
0807a0f4	68	188/192	BASE	68
080164d4	69	142/150	-mearly-frame-allocation	70
0801bd98	69	220/232	-fno-expensive-optimizations	87
08095680	70	248/248	BASE	70
080983a0	70	288/288	BASE	70
080a1d08	72	290/302	-fno-cse-pool-immediate	80
08011644	73	246/248	-fno-cse-two-insn-immediate,-mthumb-immediate-latency	100
0800ba30	74	164/154	-mthumb-immediate-latency,-fno-regmove	82
080b08b8	74	140/160	-fno-cse-two-insn-immediate,-fsched-store-first	76
080cdb24	74	146/154	-fno-cse-two-insn-immediate,-fno-sched-depend-count	75
080798e0	77	212/208	-fno-regmove,-fno-schedule-insns2	78
080b5a0c	77	200/200	-mthumb-immediate-latency,-fno-rerun-cse-after-loop	92
080f6148	77	148/160	BASE	77
0809b208	79	352/348	-fno-regmove,-fno-schedule-insns2	109
0800479c	81	176/156	-fno-regmove,-fno-schedule-insns2	83
08005fcc	82	172/186	-fno-schedule-insns2	86
0801e318	82	168/176	-fno-cse-pool-immediate	85
0808df1c	84	348/348	-fno-expensive-optimizations	87
080c0be4	84	264/264	-mthumb-immediate-latency	107
080e46f0	84	184/200	-fno-regmove	96
0801a5a4	85	188/200	-fno-cse-two-insn-immediate,-fsched-store-first	94
0800b074	87	234/242	BASE	87
080114a0	87	184/200	-fno-sched-depend-count,-fno-regmove	92
08093af8	90	264/264	-fno-expensive-optimizations	93
0808f1c0	91	196/204	-fno-sched-depend-count,-mthumb-immediate-latency	97
08010d48	92	196/204	BASE	92
080b5864	93	244/248	-mthumb-immediate-latency	95
080aad10	95	252/260	-fno-cse-two-insn-immediate,-fsched-store-first	114
08012e28	97	248/248	BASE	97
0808b090	97	180/200	-fno-cse-pool-immediate	99
080bb65c	97	356/356	-fno-expensive-optimizations	148
08090488	98	260/250	-fno-expensive-optimizations	101
080f02b0	99	214/204	-fno-cse-two-insn-immediate,-fsched-high-dest-first	100
0808e14c	100	236/240	-fno-gcse	113
080ad40c	100	252/252	-fsched-store-first,-fno-rerun-cse-after-loop	113
080f0538	100	224/220	BASE	100
080ccaec	102	196/240	BASE	102
08017248	103	278/282	-fsched-store-first,-fno-regmove	128
080a15f0	105	308/316	-mentry-low-register-order	141
08021390	107	228/248	-fno-gcse	109
080cd260	111	256/248	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-low-dest-first	117
0808d48c	112	256/260	BASE	112
080b9dc4	113	232/252	-fno-strength-reduce	125
080b920c	114	268/278	-fno-regmove,-fno-schedule-insns2	118
0808bb2c	115	280/280	-mthumb-load-latency-one	117
0808ba38	118	260/244	-fno-gcse	129
080a1ac0	118	272/266	-fno-expensive-optimizations	127
080a5b94	118	290/300	-fno-cse-pool-immediate,-fno-sched-depend-count	128
08097194	119	240/248	BASE	119
080a4800	119	292/292	-fno-cse-pool-immediate,-fno-schedule-insns2	139
080ac8fc	120	260/264	-mpreserve-single-bit-test	124
0801ef68	122	288/288	-mpreserve-single-bit-test	126
080cdd58	123	302/310	-fno-cse-two-insn-immediate,-fsched-store-first	129
08019bfc	125	264/272	-mthumb-immediate-latency,-fno-regmove	128
0801179c	128	276/268	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	132
0808ace0	128	276/272	-mthumb-immediate-latency	130
080b29a8	128	368/360	-fno-expensive-optimizations	174
