# GS1 music-player state and track-storage assignments.
player	state	track_storage	max_tracks
0	0x02004210	0x020043a0	4
1	0x02004290	0x020044e0	10
2	0x020042d0	0x02004800	2
3	0x02004360	0x020048a0	2
4	0x02004310	0x02004940	2
5	0x02004190	0x020049e0	2
6	0x020041d0	0x02004a80	2
7	0x02004250	0x02004b20	2
