# ROM-derived GS1 sound-selection table. Human titles live only in games/music.tsv.
slot	header	player	source	status
0	0x081604ac	1	songs/midi/bgm_000.mid	byte-exact
1	0x08160fa0	1	songs/midi/bgm_001.mid	byte-exact
2	0x08161558	1	songs/midi/bgm_002.mid	byte-exact
3	0x08161cac	1	songs/midi/bgm_003.mid	byte-exact
4	0x08162058	1	songs/midi/bgm_004.mid	byte-exact
5	0x08162918	1	songs/midi/bgm_005.mid	byte-exact
6	0x081632f8	1	songs/midi/bgm_006.mid	byte-exact
7	0x08163d54	1	songs/midi/bgm_007.mid	byte-exact
8	0x081643c0	1	songs/midi/bgm_008.mid	byte-exact
9	0x08164bd8	1	songs/midi/bgm_009.mid	byte-exact
10	0x081652bc	1	songs/midi/bgm_010.mid	byte-exact
11	0x080fd044	0	residuals.tsv	empty
12	0x080fd044	0	residuals.tsv	empty
13	0x080fd044	0	residuals.tsv	empty
14	0x080fd044	0	residuals.tsv	empty
15	0x080fd044	0	residuals.tsv	empty
16	0x080fd044	0	residuals.tsv	empty
17	0x080fd044	0	residuals.tsv	empty
18	0x080fd044	0	residuals.tsv	empty
19	0x081652d8	1	residuals.tsv	empty
20	0x08165d5c	1	songs/midi/bgm_020.mid	byte-exact
21	0x08166494	1	songs/midi/bgm_021.mid	byte-exact
22	0x0816776c	1	songs/midi/bgm_022.mid	byte-exact
23	0x0816868c	1	songs/midi/bgm_023.mid	byte-exact
24	0x08169960	1	songs/midi/bgm_024.mid	byte-exact
25	0x0816a5f8	1	songs/midi/bgm_025.mid	byte-exact
26	0x0816acd8	1	songs/midi/bgm_026.mid	byte-exact
27	0x0816bb78	1	songs/midi/bgm_027.mid	byte-exact
28	0x0816c780	1	songs/midi/bgm_028.mid	byte-exact
29	0x0816da9c	1	songs/midi/bgm_029.mid	byte-exact
30	0x0816e090	1	songs/midi/bgm_030.mid	byte-exact
31	0x080fd044	0	residuals.tsv	empty
32	0x080fd044	0	residuals.tsv	empty
