stem	best_diff	size	best_mode	draft
080936a0	28	112/112	-fsched-store-first	work/hand/080936a0/080936a0.c
080b5ad4	28	68/64	-fno-schedule-insns2	work/hand/080b5ad4/080b5ad4.c
080bac6c	28	124/124	BASE	work/hand/080bac6c/080bac6c.c
080cd52c	28	104/104	-mthumb-immediate-latency	work/agents/codex_080cd52c/080cd52c.c
080b0840	29	92/84	-fno-cse-two-insn-immediate	work/matches/m2c/080b0840.c
080c1ebc	29	148/148	-mthumb-immediate-latency	work/agents/080c1ebc/080c1ebc.c
080d6750	29	138/138	-mthumb-immediate-latency	work/agents/solve_08019944/080d6750.c
080f9ef8	29	68/68	BASE	work/hand/compiler-cohort-proof/080f9ef8/080f9ef8.c
080175c0	30	96/96	-mthumb-immediate-latency	work/hand/080175c0/080175c0.c
08004c1c	31	84/80	-fno-sched-depend-count	work/agents/08004c1c/08004c1c.c
08004cb4	31	64/60	BASE	work/hand/08004cb4/08004cb4.c
08004cf0	31	64/60	BASE	work/hand/08004cf0/08004cf0.c
08005584	32	80/84	-mgrouped-dma-store	work/candidates/08005584.c
08006408	32	84/80	-fno-cse-follow-jumps,-fno-cse-skip-blocks	work/matches/m2c/08006408.c
080a46b4	32	152/160	-fno-expensive-optimizations	work/hand/080a46b4/080a46b4.c
080b0a20	32	56/74	-fno-cse-two-insn-immediate	work/matches/m2c/080b0a20.c
08005490	33	80/84	-mgrouped-dma-store	work/agents/08005490-next/08005490.c
080055d8	33	80/84	-mgrouped-dma-store	work/candidates/080055d8.c
0800bb20	33	160/160	-fno-regmove,-fno-schedule-insns2	work/hand/0800bb20/0800bb20.c
0800651c	34	72/64	-fsched-store-first	work/matches/m2c/0800651c.c
080a448c	34	320/320	-fno-rerun-cse-after-loop	work/matches/m2c/080a448c.c
080f0254	34	88/92	-mgrouped-dma-store	work/hand/080f0254/080f0254.c
08078708	35	212/212	BASE	work/agents/codex_08078708/08078708.c
08078e28	35	164/164	-fno-cse-two-insn-immediate	work/hand/08078e28/08078e28.c
080bd850	35	52/72	BASE	work/matches/m2c/080bd850.c
080fa16c	36	72/64	BASE	work/matches/m2c/080fa16c.c
08094154	37	136/138	-fno-cse-pool-immediate	work/matches/m2c/08094154.c
080e727c	37	92/98	BASE	work/hand/080e727c/search/0020/080e727c.c
080167e0	39	136/136	BASE	work/hand/080167e0/080167e0.c
080937b8	39	184/186	-fno-cse-pool-immediate	work/candidates/080937b8.c
080c0cec	39	264/264	-fsched-low-dest-first	work/agents/080c0cec-next/080c0cec.c
080f9438	39	140/142	-fno-cse-pool-immediate	work/hand/080f9438/080f9438.c
080063bc	40	84/76	BASE	work/matches/m2c/080063bc.c
0800fac8	40	120/112	BASE	work/matches/m2c/0800fac8.c
080f377c	40	108/112	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fno-sched-depend-count	work/rico-probe/dsetest/080f377c.c
08004144	41	64/84	BASE	work/08004144.c
08015f30	41	136/136	-mgrouped-dma-store	work/hand/08015f30/08015f30.c
08011f54	43	132/132	-fno-expensive-optimizations	work/agents/08011f54/08011f54.c
08028808	44	156/160	BASE	work/hand/08028808/08028808.c
08097868	44	100/92	-fno-expensive-optimizations	work/matches/m2c/08097868.c
080c0f98	45	118/122	-fno-schedule-insns2	work/matches/m2c/080c0f98.c
08015fb8	46	84/96	BASE	work/matches/m2c/08015fb8.c
080c0228	46	116/112	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080c0228.c
080160fc	47	124/124	-fno-cse-two-insn-immediate	work/agents/solve_080160fc/080160fc.c
0808b158	47	128/128	-fno-rerun-cse-after-loop	work/agents/0808b158/0808b158.c
0808d394	47	148/148	-fno-rerun-cse-after-loop	work/agents/0808d394/0808d394.c
08003e58	48	124/124	-fno-schedule-insns2	work/agents/codex_08003e58/08003e58.c
0808b320	48	104/120	-fno-expensive-optimizations	work/hand/0808b320/0808b320.c
080d66cc	48	136/132	-fno-expensive-optimizations	work/matches/m2c/080d66cc.c
0801edec	49	116/124	-mgrouped-dma-store	work/hand/0801edec/0801edec.c
08010560	50	112/116	-fno-gcse	work/matches/m2c/08010560.c
08079b24	50	160/160	-fno-gcse	work/hand/08079b24/08079b24.c
080b1dec	50	140/148	-fno-rerun-cse-after-loop	work/agents/080b1dec/080b1dec.c
080e7338	50	54/102	-fno-cse-pool-immediate	work/hand/080e7338/080e7338.c
080164d4	51	150/150	-fno-expensive-optimizations	work/agents/080164d4/v10/080164d4.c
