# One human-authored register for music identity. Missing titles stay absent until Nintendo Music evidence is supplied.
kind	game	sound_id	name	en	de	es	fr	it	ja	source	gs1	gs2	evidence
# GS2's Battle Mode requester exposes decimal slots 0–96, not song titles.
track	gs2	65	sea-of-time	Sea of Time						https://goldensunwiki.net/wiki/Music
track	gs2	70	main-theme-title	Main Theme (Title)						https://goldensunwiki.net/wiki/Music
track	gs2	71	password-entry	Password Entry						https://goldensunwiki.net/wiki/Music
track	gs2	72	the-final-lighthouse	The Final Lighthouse						https://goldensunwiki.net/wiki/Music
track	gs2	73	golden-sun-twilight	Golden Sun (Twilight)						https://goldensunwiki.net/wiki/Music
track	gs2	67	vanished-vale	Vanished Vale						https://goldensunwiki.net/wiki/Music
track	gs2	75	to-be-continued	To Be Continued...						https://goldensunwiki.net/wiki/Music
track	gs2	700	village-theme	Village Theme						https://goldensunwiki.net/wiki/Music
track	gs2	701	gondowan-settlement	Gondowan Settlement						https://goldensunwiki.net/wiki/Music
track	gs2	702	an-unsettling-feeling	An Unsettling Feeling						https://goldensunwiki.net/wiki/Music
track	gs2	703	lemurian-palace	Lemurian Palace						https://goldensunwiki.net/wiki/Music
track	gs2	704	sinking-into-sorrow	Sinking into Sorrow						https://goldensunwiki.net/wiki/Music
track	gs2	705	reuniting-with-hama	Reuniting with Hama						https://goldensunwiki.net/wiki/Music
track	gs2	706	port-town-theme	Port-Town Theme						https://goldensunwiki.net/wiki/Music
track	gs2	707	colosseum-finals	Colosseum Finals						https://goldensunwiki.net/wiki/Music
track	gs2	708	colosseum	Colosseum						https://goldensunwiki.net/wiki/Music
track	gs2	710	tolbi	Tolbi						https://goldensunwiki.net/wiki/Music
track	gs2	720	anemos-inner-sanctum	Anemos Inner Sanctum						https://goldensunwiki.net/wiki/Music
track	gs2	721	contigo	Contigo						https://goldensunwiki.net/wiki/Music
track	gs2	722	the-broken-seal	The Broken Seal						https://goldensunwiki.net/wiki/Music
track	gs2	723	dungeon-theme	Dungeon Theme						https://goldensunwiki.net/wiki/Music
track	gs2	724	cave-theme	Cave Theme						https://goldensunwiki.net/wiki/Music
track	gs2	725	yampi-desert	Yampi Desert						https://goldensunwiki.net/wiki/Music
track	gs2	726	remote-village	Remote Village						https://goldensunwiki.net/wiki/Music
track	gs2	728	dehkan-plateau	Dehkan Plateau						https://goldensunwiki.net/wiki/Music
track	gs2	729	gabomba-catacombs	Gabomba Catacombs						https://goldensunwiki.net/wiki/Music
track	gs2	730	babis-theme	Babi's Theme						https://goldensunwiki.net/wiki/Music
track	gs2	741	set-sail-on-the-karagol-sea	Set Sail on the Karagol Sea						https://goldensunwiki.net/wiki/Music
track	gs2	742	a-long-journey	A Long Journey						https://goldensunwiki.net/wiki/Music
track	gs2	743	venus-lighthouse	Venus Lighthouse						https://goldensunwiki.net/wiki/Music
track	gs2	750	battle-the-broken-seal	Battle (The Broken Seal)						https://goldensunwiki.net/wiki/Music
track	gs2	751	battle-with-star-magician	Battle with Star Magician						https://goldensunwiki.net/wiki/Music
